"date" "interval" "steps"
"1" "2012-10-01" 0 2
"63" "2012-10-01" 5 1
"128" "2012-10-01" 10 1
"205" "2012-10-01" 15 1
"264" "2012-10-01" 20 1
"327" "2012-10-01" 25 3
"376" "2012-10-01" 30 1
"481" "2012-10-01" 35 1
"495" "2012-10-01" 40 0
"552" "2012-10-01" 45 2
"620" "2012-10-01" 50 1
"716" "2012-10-01" 55 1
"770" "2012-10-01" 100 1
"840" "2012-10-01" 105 1
"880" "2012-10-01" 110 1
"924" "2012-10-01" 115 1
"1018" "2012-10-01" 120 0
"1097" "2012-10-01" 125 2
"1141" "2012-10-01" 130 2
"1183" "2012-10-01" 135 1
"1230" "2012-10-01" 140 1
"1320" "2012-10-01" 145 1
"1388" "2012-10-01" 150 1
"1443" "2012-10-01" 155 0
"1507" "2012-10-01" 200 0
"1547" "2012-10-01" 205 0
"1630" "2012-10-01" 210 2
"1690" "2012-10-01" 215 0
"1731" "2012-10-01" 220 0
"1774" "2012-10-01" 225 1
"1882" "2012-10-01" 230 0
"1946" "2012-10-01" 235 1
"2000" "2012-10-01" 240 0
"2048" "2012-10-01" 245 0
"2130" "2012-10-01" 250 2
"2179" "2012-10-01" 255 1
"2224" "2012-10-01" 300 0
"2280" "2012-10-01" 305 0
"2349" "2012-10-01" 310 0
"2405" "2012-10-01" 315 0
"2444" "2012-10-01" 320 1
"2550" "2012-10-01" 325 1
"2581" "2012-10-01" 330 2
"2675" "2012-10-01" 335 1
"2720" "2012-10-01" 340 1
"2788" "2012-10-01" 345 1
"2856" "2012-10-01" 350 0
"2898" "2012-10-01" 355 0
"2942" "2012-10-01" 400 2
"3018" "2012-10-01" 405 1
"3110" "2012-10-01" 410 3
"3145" "2012-10-01" 415 0
"3204" "2012-10-01" 420 1
"3241" "2012-10-01" 425 1
"3320" "2012-10-01" 430 5
"3376" "2012-10-01" 435 1
"3445" "2012-10-01" 440 4
"3526" "2012-10-01" 445 1
"3567" "2012-10-01" 450 4
"3612" "2012-10-01" 455 2
"3712" "2012-10-01" 500 0
"3734" "2012-10-01" 505 2
"3829" "2012-10-01" 510 3
"3857" "2012-10-01" 515 3
"3964" "2012-10-01" 520 4
"4012" "2012-10-01" 525 3
"4066" "2012-10-01" 530 3
"4140" "2012-10-01" 535 7
"4189" "2012-10-01" 540 17
"4264" "2012-10-01" 545 19
"4328" "2012-10-01" 550 40
"4369" "2012-10-01" 555 45
"4423" "2012-10-01" 600 32
"4502" "2012-10-01" 605 50
"4565" "2012-10-01" 610 54
"4632" "2012-10-01" 615 64
"4668" "2012-10-01" 620 50
"4748" "2012-10-01" 625 48
"4791" "2012-10-01" 630 53
"4863" "2012-10-01" 635 40
"4930" "2012-10-01" 640 45
"4957" "2012-10-01" 645 45
"5014" "2012-10-01" 650 38
"5077" "2012-10-01" 655 50
"5128" "2012-10-01" 700 44
"5234" "2012-10-01" 705 45
"5287" "2012-10-01" 710 51
"5342" "2012-10-01" 715 55
"5408" "2012-10-01" 720 50
"5464" "2012-10-01" 725 51
"5495" "2012-10-01" 730 56
"5586" "2012-10-01" 735 45
"5657" "2012-10-01" 740 53
"5697" "2012-10-01" 745 70
"5779" "2012-10-01" 750 58
"5820" "2012-10-01" 755 57
"5911" "2012-10-01" 800 74
"5966" "2012-10-01" 805 69
"6039" "2012-10-01" 810 130
"6093" "2012-10-01" 815 158
"6136" "2012-10-01" 820 172
"6190" "2012-10-01" 825 156
"6271" "2012-10-01" 830 178
"6330" "2012-10-01" 835 207
"6384" "2012-10-01" 840 196
"6462" "2012-10-01" 845 180
"6490" "2012-10-01" 850 184
"6550" "2012-10-01" 855 168
"6613" "2012-10-01" 900 144
"6684" "2012-10-01" 905 125
"6771" "2012-10-01" 910 110
"6827" "2012-10-01" 915 109
"6862" "2012-10-01" 920 104
"6941" "2012-10-01" 925 96
"6973" "2012-10-01" 930 67
